"leadtime","year","number","longitude","latitude","mx2t24","anomalies","scaled","celcius"
4,2005,9,5,51,295.78674,-0.227199500660671,304.792802859864,31.642802859864
4,2005,10,5,51,296.4875,0.00917616539493795,305.780448273209,32.630448273209
4,2005,11,5,51,298.02087,0.526402255724988,307.94156741166,34.7915674116599
4,2005,12,5,51,297.472,0.341261106361516,307.167994522193,34.0179945221931
4,2005,13,5,51,295.631,-0.279732673546551,304.57330417747,31.4233041774701
4,2005,14,5,51,294.931,-0.515851981496381,303.58672990191,30.43672990191
4,2005,15,5,51,299.0169,0.862376419006813,309.345363948354,36.1953639483543
4,2005,16,5,51,296.97934,0.175080337426422,306.473643547054,33.323643547054
4,2005,17,5,51,296.97318,0.173002487516475,306.464961693429,33.314961693429
4,2005,18,5,51,295.19388,-0.427179061962308,303.957230824137,30.8072308241374
4,2005,19,5,51,297.38794,0.312906550609723,307.049521045617,33.8995210456167
4,2005,20,5,51,297.19598,0.248155890103939,306.778974191422,33.6289741914216
4,2005,21,5,51,298.10028,0.55318830464541,308.053487216263,34.903487216263
4,2005,22,5,51,295.0536,-0.474497371275442,303.759521339315,30.6095213393153
4,2005,23,5,51,296.73883,0.0939531163478391,306.13467071989,32.9846707198897
4,2005,24,5,51,295.69113,-0.259450024993655,304.658050907741,31.5080509077407
4,2005,25,5,51,NA,NA,NA,NA
4,2005,26,5,51,NA,NA,NA,NA
4,2005,27,5,51,NA,NA,NA,NA
4,2005,28,5,51,NA,NA,NA,NA
4,2005,29,5,51,NA,NA,NA,NA
4,2005,30,5,51,NA,NA,NA,NA
4,2005,31,5,51,NA,NA,NA,NA
4,2005,32,5,51,NA,NA,NA,NA
4,2005,33,5,51,NA,NA,NA,NA
4,2005,34,5,51,NA,NA,NA,NA
4,2005,35,5,51,NA,NA,NA,NA
4,2005,36,5,51,NA,NA,NA,NA
4,2005,37,5,51,NA,NA,NA,NA
4,2005,38,5,51,NA,NA,NA,NA
4,2005,39,5,51,NA,NA,NA,NA
4,2005,40,5,51,NA,NA,NA,NA
4,2005,41,5,51,NA,NA,NA,NA
4,2005,42,5,51,NA,NA,NA,NA
4,2005,43,5,51,NA,NA,NA,NA
4,2005,44,5,51,NA,NA,NA,NA
4,2005,45,5,51,NA,NA,NA,NA
4,2005,46,5,51,NA,NA,NA,NA
4,2005,47,5,51,NA,NA,NA,NA
4,2005,48,5,51,NA,NA,NA,NA
4,2005,49,5,51,NA,NA,NA,NA
4,2005,50,5,51,NA,NA,NA,NA
4,2006,0,5,51,296.3481,-0.037845308216794,305.58397905319,32.4339790531903
4,2006,1,5,51,295.5532,-0.305975648058679,304.463653493701,31.3136534937007
4,2006,2,5,51,294.86188,-0.539167076589941,303.489312739158,30.3393127391575
4,2006,3,5,51,298.11514,0.558200780239887,308.074430778741,34.9244307787413
4,2006,4,5,51,296.27457,-0.0626479549504405,305.480346472502,32.3303464725018
4,2006,5,5,51,298.31766,0.626513469162743,308.359860810579,35.2098608105791
4,2006,6,5,51,297.26804,0.272462686290877,306.880534966131,33.7305349661314
4,2006,7,5,51,294.34143,-0.714721782050637,302.755794765279,29.6057947652786
4,2006,8,5,51,294.7717,-0.569585989719813,303.362213784629,30.212213784629
4,2006,9,5,51,293.40964,-1.0290269391286,301.442537559244,28.2925375592442
4,2006,10,5,51,296.04596,-0.139761147793887,305.158145408022,32.0081454080221
4,2006,11,5,51,296.22394,-0.0797261271811399,305.408988964542,32.2589889645424
4,2006,12,5,51,297.47842,0.343426657728729,307.177042817692,34.0270428176919
4,2006,13,5,51,296.27298,-0.0631842830927718,305.478105539504,32.3281055395045
4,2006,14,5,51,294.9117,-0.522362128129851,303.559528639741,30.409528639741
4,2006,15,5,51,297.9799,0.512582529943976,307.883824628703,34.7338246287031
4,2006,16,5,51,296.21762,-0.0818579472186354,305.400081608226,32.2500816082259
4,2006,17,5,51,295.3863,-0.36227323733986,304.228425998571,31.0784259985708
4,2006,18,5,51,299.14026,0.903987387333513,309.519226523544,36.3692265235445
4,2006,19,5,51,296.96588,0.17054010044786,306.454673133127,33.3046731331268
4,2006,20,5,51,300.01508,1.19907580587733,310.752190677467,37.6021906774666
4,2006,21,5,51,296.7626,0.101971053419226,306.168171963504,33.0181719635041
4,2006,22,5,51,295.71375,-0.251819998213899,304.68993135076,31.5399313507596
4,2006,23,5,51,295.83557,-0.210728492364682,304.861623462543,31.7116234625435
4,2006,24,5,51,297.6295,0.394387950650237,307.389973734194,34.2399737341942
4,2006,25,5,51,NA,NA,NA,NA
4,2006,26,5,51,NA,NA,NA,NA
4,2006,27,5,51,NA,NA,NA,NA
4,2006,28,5,51,NA,NA,NA,NA
4,2006,29,5,51,NA,NA,NA,NA
4,2006,30,5,51,NA,NA,NA,NA
4,2006,31,5,51,NA,NA,NA,NA
4,2006,32,5,51,NA,NA,NA,NA
4,2006,33,5,51,NA,NA,NA,NA
4,2006,34,5,51,NA,NA,NA,NA
4,2006,35,5,51,NA,NA,NA,NA
4,2006,36,5,51,NA,NA,NA,NA
4,2006,37,5,51,NA,NA,NA,NA
4,2006,38,5,51,NA,NA,NA,NA
4,2006,39,5,51,NA,NA,NA,NA
4,2006,40,5,51,NA,NA,NA,NA
4,2006,41,5,51,NA,NA,NA,NA
4,2006,42,5,51,NA,NA,NA,NA
4,2006,43,5,51,NA,NA,NA,NA
4,2006,44,5,51,NA,NA,NA,NA
4,2006,45,5,51,NA,NA,NA,NA
4,2006,46,5,51,NA,NA,NA,NA
4,2006,47,5,51,NA,NA,NA,NA
4,2006,48,5,51,NA,NA,NA,NA
4,2006,49,5,51,NA,NA,NA,NA
4,2006,50,5,51,NA,NA,NA,NA
4,2007,0,5,51,296.62726,0.0563190717935966,305.977424874284,32.8274248742836
4,2007,1,5,51,294.19635,-0.763659195189728,302.55132019971,29.4013201997097
4,2007,2,5,51,296.45914,-0.000390039710007995,305.740477921131,32.5904779211306
